Spine Id,Dendrite Id,Dendritic Compartment, Spine Area, Spine Attachment Pt Diameter, Spine Attachment Pt Distance, Spine Branch Depth, Spine Branch Level, Spine Branchings, Spine Length, Spine Max Diameter, Spine Mean Diameter, Spine Min Diameter, Spine Neck Length, Spine Neck Max Diameter, Spine Neck Mean Diameter, Spine Neck Min Diameter, Spine Neck Volume, Spine Orientation Angle, Spine Position X, Spine Position Y, Spine Position Z, Spine Resistance, Spine Straightness, Spine Terminal Pt Diameter, Spine Terminal Pt Distance, Spine Terminal Pt Volume, Spine Time, Spine Time Index, Spine Volume
C6-700000122,C6,apical,3.8728599548,0.9502120018,128.449996948,2,2,0,1.7105200291,0.9502120018,0.77669698,0.4806190133,1.0317599773,0.8880969882,0.8073369861,0.7003149986,0.6359069943,-21.5618991852,560.984008789,635.965026855,-14.2954998016,4.3333201408,0.8125299811,0.4806190133,130.395996094,0.0581301004,0,1,0.6940370202
T-700000238,T,apical,5.9574699402,3.3569300175,225.386993408,0,1,0,3.5047299862,3.3569300175,0.8104940057,0.150000006,2.1542899609,0.7003110051,0.4022629857,0.150000006,0.4117699862,-175.856994629,479.54699707,597.523986816,-6.6761097908,36.7244987488,0.9341229796,0.96122998,230.089996338,0.4650300145,0,1,0.8767989874
C1-700000170,C1,apical,3.2307798863,0.4806160033,77.2790985107,4,1,0,1.4404200316,0.9082990289,0.624867022,0.4806160033,0.4177660048,0.9082990289,0.7691140175,0.6299300194,0.5134389997,-27.6383991241,544.908996582,795.380981445,0.819765985,4.4243397713,0.9098259807,0.4806239903,78.7194976807,0.0581320003,0,1,0.5715709925
C1-700000421,C1,apical,2.8367099762,0.4806230068,258.684997559,4,3,0,2.0017499924,0.6796990037,0.4228200018,0.3028079867,1.114380002,0.3917140067,0.3561510146,0.3028079867,0.1249340028,133.483001709,665.427001953,949.369995117,13.4713001251,16.6912002563,0.9152619839,0.6796990037,260.587005615,0.164417997,0,1,0.2893519998
C6-700000365,C6,apical,4.8489298821,1.1603200436,164.912994385,3,4,0,1.5886199474,1.1603200436,1.0234600306,0.9612460136,0.5512920022,1.0110100508,0.9861279726,0.9612460136,0.5959259868,-49.613899231,589.463989258,624.974975586,32.9692993164,2.1065499783,0.9976699948,0.9612460136,166.600997925,0.4650529921,0,1,1.0609799624
T-700000549,T,apical,2.7759399414,1.620849967,300.574005127,1,2,0,0.9258580208,1.620849967,1.1673699617,0.9612309933,0,0,0,0,0.0857935026,130.740997314,488.527008057,526.784973145,-1.2369799614,1.3183699846,0.9847090244,0.9612309933,301.829986572,0.465030998,0,1,0.5508249998
T-700000230,T,apical,4.2559800148,2.886300087,222.733001709,0,1,0,2.3044199944,2.886300087,0.869156003,0.2551540136,1.1992000341,0.9200059772,0.5370799899,0.2551540136,0.4551410079,-172.634994507,480.570007324,600.382019043,-6.1126899719,15.5643997192,0.8582530022,0.6796979904,226.13999939,0.1644169986,0,1,0.6195579767
T-700000231,T,apical,1.0546799898,2.886300087,222.733001709,0,1,0,1.1167700291,2.886300087,1.069939971,0.48061499,0,0,0,0,0.0540626012,-27.0338001251,482.066009521,600.015014648,-6.1081800461,7.3459401131,0.8196849823,0.48061499,225.052001953,0.0581286997,0,1,0.1121909991
T-700000232,T,apical,3.4542798996,3.2398600578,223.25,0,1,0,1.6878199577,3.2398600578,1.0092899799,0.4806210101,0.2867180109,0.5303879976,0.5055040121,0.4806210101,0.0597475991,-172.180999756,481.216003418,599.484008789,-7.6306500435,6.9524102211,0.9030569792,0.9612309933,226.07699585,0.465030998,0,1,0.5247790217
T-700000233,T,apical,2.9228899479,3.2398600578,223.25,0,1,0,0.8368970156,3.2398600578,1.3482999802,0.6796979904,0,0,0,0,0,-143.968994141,481.734985352,599.570983887,-7.3642802239,2.6201200485,0.9813209772,1.16031003,225.126998901,0.8179389834,0,1,0.6433809996
T-700000234,T,apical,3.6747100353,3.844990015,223.977005005,0,1,0,2.6542899609,3.844990015,0.6876069903,0.150000006,2.0676300526,0.720927,0.4036689997,0.150000006,0.3766750097,170.733001709,479.933990479,599.237976074,-6.94080019,58.6062011719,0.9172250032,0.48061499,228.31300354,0.0581286997,0,1,0.4348039925
T-700000235,T,apical,3.3674299717,3.844990015,223.977005005,0,1,0,1.6677099466,3.844990015,0.8927440047,0.2551540136,0.4827710092,0.5256189704,0.3453100026,0.2551540136,0.0610079989,-5.5190300942,482.992004395,598.931030273,-7.3685998917,15.8881998062,0.9439880252,0.9612309933,227.085998535,0.465030998,0,1,0.5260390043
T-700000236,T,apical,3.3333499432,3.844990015,223.977005005,0,1,0,0,3.844990015,1.609869957,0.6796979904,0,0,0,0,0.4302769899,-21.1702003479,481.893005371,598.978027344,-6.6029400826,2.1036000252,0.987251997,0.6796979904,225.449005127,0.1644169986,0,1,0.5946940184
T-700000237,T,apical,1.7050000429,3.844990015,223.977005005,0,1,0,1.9912600517,3.844990015,1.0061700344,0.1800000072,1.0837099552,0.2551549971,0.2050520033,0.1800000072,0.0666688979,-179.753997803,480.513000488,598.866027832,-6.6768198013,46.6114006042,0.8881070018,0.4806210101,227.649993896,0.0581309013,0,1,0.1247999966
C6-700000123,C6,apical,4.5861401558,1.16031003,128.208999634,2,2,0,1.767449975,1.16031003,0.9414960146,0.6796960235,0.4673010111,0.9626939893,0.9267669916,0.8908410072,0.765048027,105.944999695,560.145996094,636.388000488,-14.7684001923,3.0591299534,0.9518210292,0.6796960235,130.216995239,0.1644160002,0,1,0.9294639826
T-700000780,T,apical,1.70333004,1.9018800259,342.648010254,1,1,0,1.1435500383,1.9018800259,0.6397280097,0.1800000072,0.2434930056,0.2551540136,0.2175769955,0.1800000072,0.0155282998,-170.223007202,484.489990234,485.213012695,-0.1058909968,20.8309001923,0.9918349981,0.6796979904,344.402008057,0.1644169986,0,1,0.179945007
T-700000781,T,apical,2.841160059,1.9224900007,342.410003662,1,1,0,2.2259700298,1.9224900007,0.5511770248,0.1800000072,1.1745100021,0.4552319944,0.2759749889,0.1800000072,0.1408129931,174.860992432,484.027008057,485.5,0.073649697,36.2243995667,0.920141995,0.6796979904,345.256988525,0.1644169986,0,1,0.3052299917
T-700000782,T,apical,1.5378700495,1.9224900007,342.170013428,1,1,0,0.9445440173,1.9224900007,0.9572150111,0.48061499,0.3222129941,0.6299269795,0.5801560283,0.5303859711,0.1325650066,-177.936004639,484.821990967,485.75100708,-0.6333940029,4.1328601837,0.9547899961,0.48061499,343.835998535,0.0581286997,0,1,0.1906940043
T-700000718,T,apical,1.8456100225,1.9224900007,394.391998291,1,1,0,0.9887570143,1.9224900007,1.1112600565,0.48061499,0,0.7003139853,0.7003139853,0.7003139853,0.2055599988,-0.6062430143,488.558013916,435.019012451,0.6363909841,2.9639399052,0.977429986,0.48061499,396.101989746,0.0581286997,0,1,0.2636879981
C8-700000162,C8,apical,3.2240300179,1.359400034,12.5141000748,0,1,0,1.2439700365,1.359400034,1.009829998,0.6796990037,0,0.9903969765,0.9903969765,0.9903969765,0.4557900131,-111.744003296,469.053985596,671.991027832,-9.3063697815,2.190570116,0.9994440079,0.6796990037,14.0979995728,0.164417997,0,1,0.620208025
C8-700000163,C8,apical,3.8945701122,0.8908550143,11.0555000305,0,1,0,2.2446899414,0.8908550143,0.6324470043,0.4806210101,1.0105099678,0.5303919911,0.5138019919,0.4806210101,0.3557659984,160.279998779,469.378997803,673.523986816,-9.607339859,9.395529747,0.8960639834,0.6797029972,13.4056997299,0.164421007,0,1,0.520186007
C8-700000160,C8,apical,2.0113899708,1.4418699741,13.2449998856,0,1,0,1.7321599722,1.4418699741,0.5582709908,0.150000006,0.7253869772,0.2326540053,0.1913270056,0.150000006,0.0285774991,-14.3320999146,469.545013428,671.205993652,-9.8724098206,39.6935005188,0.9636909962,0.6796990037,15.358300209,0.164417997,0,1,0.1929949969
C8-700000161,C8,apical,1.7195800543,1.4418699741,12.7589998245,0,1,0,1.4405699968,1.4418699741,0.5578070283,0.2326540053,0.9187809825,0.4806160033,0.3359720111,0.2326540053,0.1007039994,151.550003052,468.449005127,672.153991699,-9.2775802612,18.9365997314,0.9652950168,0.4806160033,14.6801996231,0.0581290983,0,1,0.1588329971
C8-700000166,C8,apical,5.8579797745,0.96122998,8.6014900208,0,1,0,3.5199000835,0.96122998,0.5589749813,0.2326540053,2.3891301155,0.7706940174,0.4813250005,0.2326540053,0.5862780213,-31.6460990906,472.411010742,674.405029297,-8.6310501099,25.0828990936,0.9182639718,0.6796990037,12.2622003555,0.164417997,0,1,0.7506960034
C8-700000167,C8,apical,3.8941500187,0.96122998,8.6014900208,0,1,0,2.3516199589,0.96122998,0.5949249864,0.3153080046,1.1467399597,0.5303869843,0.4484780133,0.3153080046,0.3207040131,-32.0714988708,471.838989258,674.822021484,-8.1234197617,12.1557998657,0.9594330192,0.6796990037,11.0938997269,0.164417997,0,1,0.4851219952
